INFO 2025-10-30 17:28:44,903 autoreload 16616 9244 Watching for file changes with StatReloader
INFO 2025-11-15 00:11:01,222 basehttp 16104 11308 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-15 00:11:01,233 basehttp 16104 16200 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-15 00:11:01,666 basehttp 16104 7676 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-15 00:11:02,088 basehttp 16104 7676 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-15 00:11:02,900 basehttp 16104 9936 "GET /media/book_covers/placeholder.jpg HTTP/1.1" 200 4305
INFO 2025-11-15 00:11:02,905 basehttp 16104 1568 "GET /media/book_covers/Screenshot_2025-09-11_184033.jpg HTTP/1.1" 200 18755
INFO 2025-11-15 00:11:02,914 basehttp 16104 8004 "GET /media/book_covers/Screenshot_2025-09-11_184118.jpg HTTP/1.1" 200 12171
INFO 2025-11-15 00:11:03,002 basehttp 16104 17136 "GET /media/book_covers/pexels-osho-1633973.jpg HTTP/1.1" 200 5817378
INFO 2025-11-15 00:12:17,784 basehttp 16104 5216 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-15 00:12:17,859 basehttp 16104 14856 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-15 00:12:17,900 basehttp 16104 9784 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-11-15 00:12:17,944 basehttp 16104 10864 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-15 00:12:17,998 basehttp 16104 5216 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-15 00:12:18,021 basehttp 16104 2536 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-15 00:12:18,056 basehttp 16104 13812 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-15 00:12:18,097 basehttp 16104 9784 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-11-15 00:12:18,105 basehttp 16104 14856 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-15 00:12:18,109 basehttp 16104 10864 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-11-15 00:12:18,162 basehttp 16104 2536 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-15 00:12:18,185 basehttp 16104 13812 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-15 00:16:51,050 basehttp 16104 2368 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-11-15 00:16:51,173 basehttp 16104 2368 "GET /api/notifications/ HTTP/1.1" 200 1832
INFO 2025-11-16 08:23:01,844 basehttp 16104 20428 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
INFO 2025-11-16 08:23:01,846 basehttp 16104 20576 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
WARNING 2025-11-16 08:23:01,950 log 16104 20428 Unauthorized: /api/auth/profile/
WARNING 2025-11-16 08:23:01,952 basehttp 16104 20428 "GET /api/auth/profile/ HTTP/1.1" 401 183
WARNING 2025-11-16 08:23:01,961 log 16104 20428 Unauthorized: /api/auth/profile/
WARNING 2025-11-16 08:23:01,963 basehttp 16104 20428 "GET /api/auth/profile/ HTTP/1.1" 401 183
INFO 2025-11-19 04:38:08,041 autoreload 16104 17288 C:\Users\johnii\Downloads\library-management-system\backend\authentication\serializers.py changed, reloading.
INFO 2025-11-19 04:38:23,208 autoreload 18928 23324 Watching for file changes with StatReloader
INFO 2025-11-19 04:38:30,707 autoreload 18928 23324 C:\Users\johnii\Downloads\library-management-system\backend\authentication\serializers.py changed, reloading.
INFO 2025-11-19 04:38:47,554 autoreload 21896 21252 Watching for file changes with StatReloader
WARNING 2025-11-19 15:03:44,083 log 3968 20068 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:03:52,418 log 3968 20068 Forbidden: /api/books/
WARNING 2025-11-19 15:07:24,325 log 8708 9968 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:07:32,499 log 8708 9968 Forbidden: /api/books/
WARNING 2025-11-19 15:08:02,514 log 21920 15704 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:08:10,685 log 21920 15704 Forbidden: /api/books/
WARNING 2025-11-19 15:08:46,353 log 9772 18792 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:08:54,610 log 9772 18792 Forbidden: /api/books/
WARNING 2025-11-19 15:09:40,744 log 25028 23312 Bad Request: /api/books/1/reserve/
WARNING 2025-11-19 15:10:31,509 log 25508 19008 Not Found: /login
WARNING 2025-11-19 15:10:31,749 log 25508 19008 Not Found: /favicon.ico
INFO 2025-11-19 15:10:35,932 basehttp 25508 24168 - Broken pipe from ('127.0.0.1', 55772)
INFO 2025-11-19 15:10:35,981 basehttp 25508 25364 - Broken pipe from ('127.0.0.1', 55771)
INFO 2025-11-19 15:10:35,984 basehttp 25508 19008 - Broken pipe from ('127.0.0.1', 55770)
WARNING 2025-11-19 15:11:41,571 log 17084 2880 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:11:53,614 log 17084 2880 Forbidden: /api/books/
WARNING 2025-11-19 15:28:50,222 log 1740 14916 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:29:02,252 log 1740 14916 Forbidden: /api/books/
WARNING 2025-11-19 15:30:36,043 log 25816 25568 Bad Request: /api/books/4/borrow/
WARNING 2025-11-19 15:30:43,822 log 25816 25568 Forbidden: /api/books/
